Clock frequency is approx. 1500.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	3679.6	3505.2	3117.2	2478.3	1971.7	1623.7	1377.7	1188.7	1125.6	1061.4	1004.9	956.0	944.6	918.7	863.3	847.4	797.7	800.9	800.7	794.2	781.5	767.2	758.5	753.4	753.1	774.5	771.1	777.0	777.5	767.8	810.6	699.5	788.1	803.9	803.9	802.2	806.3	800.7	805.0	786.4	841.6	890.9	975.1	1006.6	979.7	938.7	1029.4	849.5	1083.0	1102.1	1064.7	1078.4	1080.8	1080.0	1076.1	1083.3	1011.4	1089.5	1119.5	1110.9	1035.6	1175.7	931.9	721.8	
16m	3714.6	3599.2	3233.0	2609.8	2012.9	1651.9	1415.4	1199.7	1144.4	1088.2	1032.8	987.0	946.3	914.3	892.1	886.8	889.5	876.4	870.5	844.8	893.4	887.0	904.8	918.6	921.6	904.6	930.1	960.9	952.6	969.8	981.7	745.8	1008.9	1028.6	1028.3	1096.8	987.0	1114.6	1182.9	1190.8	1256.7	1333.0	1541.7	1437.5	1553.9	1640.9	1628.7	1096.7	1703.0	1742.6	1762.6	1730.8	1821.4	1775.1	1643.8	1868.0	1870.8	1732.4	1790.1	1493.4	1664.3	1632.1	1645.8	773.9	
8m	3719.9	3508.6	3284.2	2628.9	2060.6	1696.6	1441.8	1285.4	1210.6	1158.7	1116.1	1078.4	1062.0	1056.0	1088.5	971.1	1096.1	1107.7	1204.0	1217.3	1321.6	1295.2	1334.5	1386.2	1358.5	1379.0	1228.4	1392.1	1441.5	1476.1	1456.5	873.9	1458.8	1570.7	1616.8	1640.9	1571.7	1617.1	1308.2	1380.4	1765.3	1687.1	1939.1	1935.7	1989.0	1965.7	1999.8	1241.3	2010.2	2015.3	1996.1	1993.0	1989.8	1983.0	1989.4	1990.8	1971.8	1963.9	1934.2	1888.9	1876.1	1859.8	1844.2	893.9	
4m	3714.9	3591.0	3546.3	2757.1	2438.8	2034.9	1809.0	1618.5	1576.9	1515.0	1433.5	1491.8	1616.6	1595.7	1699.0	1393.9	1683.6	1832.3	1823.4	1774.7	1709.3	1748.9	1832.0	1882.7	1852.1	1858.8	1831.5	1789.0	1945.9	1955.7	1965.2	1284.3	1983.3	1857.2	1988.9	1928.5	1927.7	1985.3	1964.1	1996.2	2017.9	2010.2	2353.6	2361.5	2427.5	2441.2	2436.7	2401.7	2442.0	2437.3	2427.5	2432.7	2432.1	2426.7	2429.3	2421.3	2436.6	2444.6	2431.7	2434.0	2454.8	2422.8	2470.4	834.8	
2m	3831.6	3919.4	3934.7	3870.7	3383.4	2849.7	2500.2	2231.4	2194.1	2151.3	2140.7	2136.4	2135.6	2133.3	2135.2	1913.2	2128.2	2153.9	2099.2	2143.5	2110.4	2136.4	2128.3	2089.7	2128.3	2057.6	2054.3	2085.8	2079.8	2066.8	2063.5	1958.0	2051.8	2073.7	2100.1	2064.0	2082.6	2088.3	2049.5	2098.4	2072.7	2082.8	2392.5	2464.5	2556.0	2619.6	2549.4	2410.0	2691.8	2671.6	2773.2	2884.2	2796.2	2711.3	2800.1	2909.6	3028.6	2895.0	3087.2	3028.7	3166.4	3002.5	3130.4	2210.7	
1024k	3997.5	3999.2	3991.6	3976.3	3569.7	3005.6	2646.0	2392.4	2349.2	2313.1	2278.8	2253.4	2233.3	2226.5	2209.0	2207.7	2191.0	2184.5	2184.9	2164.3	2161.6	2165.4	2161.6	2156.0	2168.5	2168.8	2171.3	2181.5	2203.1	2186.9	2238.1	2146.2	2262.5	2282.2	2336.4	2371.6	2436.5	2434.4	2959.6	3295.7	3444.0	3639.0	3705.5	3817.8	3887.3	3927.0	3941.2	2629.2	3912.9	3970.2	3974.6	3949.0	3967.8	3966.5	3950.3	3925.2	3858.6	3962.5	3950.9	3962.6	3952.5	3971.6	3973.3	2429.7	
512k	3999.1	3997.8	3992.8	3961.7	3569.2	3005.7	2658.2	2391.1	2346.2	2309.7	2283.8	2265.4	2261.5	2284.8	2334.1	2225.5	2376.4	2435.6	2469.3	2577.7	2630.1	2675.9	2650.0	2730.0	2837.3	3016.5	3011.8	3067.8	3175.6	3422.5	3733.2	2157.5	3932.8	3920.7	3942.2	3884.5	3950.9	3959.0	3951.1	3961.0	3953.5	3937.4	3958.8	3958.0	3943.3	3950.4	3924.5	3916.0	3914.7	3948.1	3954.2	3922.3	3929.9	3953.6	3950.1	3945.1	3928.9	3946.4	3929.9	3938.8	3935.4	3949.3	3945.7	2400.2	
256k	3998.8	3997.1	3992.1	3993.9	3942.7	3688.7	3441.5	3287.6	3283.3	3286.9	3296.8	3287.6	3395.7	3551.9	3531.3	3172.2	3655.5	3766.7	3765.9	3810.6	3934.1	3799.8	3749.4	3871.6	3851.4	3902.1	3923.7	3905.6	3910.0	3905.9	3915.2	3157.6	3924.8	3912.8	3884.7	3884.3	3895.5	3907.9	3883.9	3888.6	3885.9	3856.0	3861.9	3871.9	3873.4	3871.3	3887.7	3886.3	3880.2	3832.3	3902.2	3842.6	3856.4	3931.8	3911.2	3866.8	3867.3	3905.1	3893.2	3864.5	3883.2	3896.0	3891.6	3254.6	
128k	3997.8	3995.2	3992.5	3990.0	3988.3	3982.8	3983.1	3961.7	3966.4	3957.8	3965.0	3965.3	3963.4	3958.4	3943.5	3918.8	3939.4	3923.3	3907.9	3932.2	3933.8	3912.6	3906.7	3916.0	3916.2	3922.3	3931.8	3892.6	3923.1	3919.9	3924.9	3879.2	3939.9	3939.4	3933.2	3922.8	3930.1	3919.7	3925.6	3925.3	3917.1	3913.4	3914.8	3918.8	3914.4	3899.6	3901.5	3682.9	3902.1	3900.7	3902.2	3889.3	3864.4	3889.8	3902.7	3883.1	3883.8	3886.3	3892.3	3881.9	3891.7	3886.4	3881.0	3657.5	
64k	3995.2	3990.0	3984.8	3979.7	3973.8	3965.3	3962.9	3964.3	3951.7	3944.8	3898.9	3908.5	3922.3	3927.4	3919.9	3908.8	3939.4	3922.8	3919.7	3925.3	3913.4	3905.1	3913.8	3907.8	3900.7	3889.3	3889.8	3883.1	3886.3	3881.9	3867.5	3675.0	3877.3	3864.7	3857.5	3856.3	3861.6	3848.6	3841.8	3863.6	3841.7	3823.9	3835.9	3824.9	3818.6	3814.7	3816.1	3820.3	3798.7	3808.5	3794.7	3810.9	3768.7	3791.0	3817.7	3782.7	3780.0	3780.5	3784.5	3792.0	3764.4	3775.4	3750.4	3657.5	
